ID,Район,Улица,Комнаты,Площадь,Этаж,Серия,Цена за м2,Цена,Ссылка
tr_57227781,центр,Калниня 2,-,204,3/6,Дов. дом,1764 €,"360,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/fhxhb.html
tr_56851565,центр,Спаргелю 10,2,44,2/4,Нов.,2429 €,"106,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bcildi.html
tr_56951443,Пурвциемс,Стирну 13a,3,103,4/6,Нов.,1713 €,"176,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/omigk.html
tr_56461113,Пурвциемс,Калснавас 2c,2,58,12/12,104-я,1324 €,"76,800  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/hhekx.html
tr_57257991,Золитуде,Анниньмуйжас 20,1,34,3/6,Нов.,2264 €,"77,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/zolitude/dkoex.html
tr_57027020,Пурвциемс,Пилю 4,2,46,2/5,Лит. пр.,1054 €,"48,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/fdppj.html
tr_57257886,Болдерая,Лиелупес 1 k-1,3,84,2/2,Спец. пр.,928 €,"78,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/bolderaya/hcbof.html
tr_56994631,Кенгарагс,Булту 6,2,39,1/5,Лит. пр.,1282 €,"50,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/kengarags/acpmh.html
tr_56647716,центр,Бривибас 19,3,70,5/6,Дов. дом,4071 €,"285,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bobfc.html
tr_56867883,центр,Пулкв. Бриежа 8,5,163,3/6,Дов. дом,1834 €,"299,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/gbjpx.html
tr_56895074,центр,Меркеля 2,4,188,5/6,Рекон.,3824 €,"719,040  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bexjoe.html
tr_57257694,центр,Авоту 4a,2,28,3/5,Рекон.,3750 €,"105,000€",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/abiie.html
tr_56857951,Агенскалнс,Лиелирбес 37,2,79,3/3,Нов.,2139 €,"169,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/afmel.html
tr_57178609,Саркандаугава,Саркандаугавас 26,1,30,1/5,Хрущ.,1333 €,"40,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/sarkandaugava/agnog.html
tr_57257133,Плявниеки,Ясмуйжас 13,4,74,5/9,467-я,1148 €,"85,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/plyavnieki/afonh.html
tr_57169124,центр,Бривибас 104,4,175,5/7,Спец. пр.,1400 €,"245,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/clexo.html
tr_57256898,Пурвциемс,Илукстес 54,1,42,4/5,М. сем.,857 €,"36,000€",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/epiee.html
tr_57167164,Тейка,Цаунес 10,4,74,8/8,Спец. пр.,1162 €,"86,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/emehl.html
tr_55679322,Агенскалнс,Мелнсила 28,3,58,5/5,Хрущ.,1379 €,"80,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/afhmm.html
tr_55914409,Вецрига,Грециниеку 22,5,229,3/5,Дов. дом,2227 €,"510,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecriga/ceidj.html
tr_57217612,центр,Блауманя 25,4,103,5/5,Дов. дом,2233 €,"230,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/dgijm.html
tr_56538960,Агенскалнс,Олгас 3,3,79,3/3,Дов. дом,1384 €,"109,400  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/icmhc.html
tr_56857801,Шампетерис-Плескодале,Залвес 37,2,79,3/3,Нов.,2139 €,"169,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/shampeteris-pleskodale/bfxmxk.html
tr_57256281,Золитуде,Русес 14,5,102,9/5,119-я,882 €,"90,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/zolitude/cclfc.html
tr_57256280,Саркандаугава,Саркандаугавас 19,1,23,2/5,Дов. дом,717 €,"16,500€",https://www.ss.lv/msg/ru/real-estate/flats/riga/sarkandaugava/cjcnn.html
tr_57184213,центр,Гертрудес 91a,1,30,1/6,Дов. дом,1216 €,"36,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/exdjd.html
tr_55706655,центр,Дзирнаву 53,4,116,4/6,Дов. дом,2895 €,"335,850  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/fffmn.html
